Question,1,2,3,4,5,6,0
Q1a,Yes,No,,,,,No response
Q1b,Yes,No,,,,,No response
Q1c,,,,,,,No response
Q2,Not at all familiar,,,,Very familiar,,No response
Q3,Yes,No,,,,,No response
Q4_1 m,,,,,,,No response
Q4_2 m,,,,,,,No response
Q4_3 m,,,,,,,No response
Q4_4 m,,,,,,,No response
Q4_5 m,,,,,,,No response
Q4_5_TEXT m,,,,,,,No response
Q5_1 s,Strongly disagree,,Neither agree nor disagree,,Strongly agree,,No response
Q5_2 s,Strongly disagree,,Neither agree nor disagree,,Strongly agree,,No response
Q6_1 s,Very bad,,Neither good nor bad,,Very good,Not sure,No response
Q6_2 s,Very bad,,Neither good nor bad,,Very good,Not sure,No response
Q6_3 s,Very bad,,Neither good nor bad,,Very good,Not sure,No response
Q6_4 s,Very bad,,Neither good nor bad,,Very good,Not sure,No response
Q9_1 s,Not at all concerned,,,,Very concerned,,No response
Q9_2 s,Not at all concerned,,,,Very concerned,,No response
Q9_3 s,Not at all concerned,,,,Very concerned,,No response
Q9_4 s,Not at all concerned,,,,Very concerned,,No response
Q9_5 s,Not at all concerned,,,,Very concerned,,No response
Q9_6 s,Not at all concerned,,,,Very concerned,,No response
Q9_7 s,Not at all concerned,,,,Very concerned,,No response
Q9_8 s,Not at all concerned,,,,Very concerned,,No response
Q9_9 s,Not at all concerned,,,,Very concerned,,No response
Q9_10 s,Not at all concerned,,,,Very concerned,,No response
Q8_1 s,Never,Rarely,Sometimes,Often,,,No response
Q8_2 s,Never,Rarely,Sometimes,Often,,,No response
Q8_3 s,Never,Rarely,Sometimes,Often,,,No response
Q8_4 s,Never,Rarely,Sometimes,Often,,,No response
Q8_5 s,Never,Rarely,Sometimes,Often,,,No response
Q15,Yes,No,,,,,No response
Q10,Yes,No,,,,,No response
Q11,Yes,No,,,,,No response
Q12,Male,Female,,,,,
Q13,18-29,30-39,40-49,50-59,60 and over,,No response
Q14,,Less than high school,High school diploma,Some college and/or vocational/technical degree,Graduate degree,,No response
Site,,,,,,,No response
